Feature,Coefficients,abs_coefficients
primary care,0.3631652599278499,0.3631652599278499
ambulatory,0.2734308666890294,0.2734308666890294
measles,0.2544323751025156,0.2544323751025156
health care quality,0.2541697548557383,0.2541697548557383
suicide,0.24852689712024364,0.24852689712024364
patient satisfaction,0.21433978394870642,0.21433978394870642
health insurance,0.2126694879536361,0.2126694879536361
smoking,0.20117721394445345,0.20117721394445345
health literacy,0.20114106774896864,0.20114106774896864
schizophrenia,0.198702556158929,0.198702556158929
drugs,0.19429979233919942,0.19429979233919942
population health,0.19288837425250543,0.19288837425250543
dental care,0.19126008906977343,0.19126008906977343
long-term care,0.19032209421074694,0.19032209421074694
cannabis,0.18689478313191407,0.18689478313191407
mental health,0.1867334402858868,0.1867334402858868
public hospital,0.1864475154342939,0.1864475154342939
collaborative care,0.18583220061164915,0.18583220061164915
health coverage,0.18024238597351108,0.18024238597351108
health care,0.17934124455675454,0.17934124455675454
alcohol,0.17865546534726773,0.17865546534726773
cancer,0.17709272299339293,0.17709272299339293
hazardous drinking,0.17490030875111226,0.17490030875111226
cancers,0.17264232421144124,0.17264232421144124
health system,0.17162030293011335,0.17162030293011335
ehealth,0.17124755444930773,0.17124755444930773
alzheimer,0.16880133872607725,0.16880133872607725
hospital admissions,0.16836048919018248,0.16836048919018248
diabetes,0.16552229840864757,0.16552229840864757
drug dependence,0.16401319511581297,0.16401319511581297
premature deaths,-0.16380066025489276,0.16380066025489276
traditional medicine,0.16176947574006847,0.16176947574006847
antibiotics,0.1617004905324997,0.1617004905324997
pharmacist,0.1605610137740145,0.1605610137740145
midwives,0.1573686672533835,0.1573686672533835
health service,0.15673273480372818,0.15673273480372818
hospital bed,0.155452928716729,0.155452928716729
child deaths,0.15527951420271222,0.15527951420271222
tobacco use,-0.15515737480801145,0.15515737480801145
chemotherapy,0.15299914700979336,0.15299914700979336
health services,0.1506360468113543,0.1506360468113543
multiple chronic conditions,0.15047220973616374,0.15047220973616374
uhc,0.1497469042179277,0.1497469042179277
moderate depression,0.1490996503066674,0.1490996503066674
body mass index,0.14890583448881517,0.14890583448881517
hospitalisation,0.14867253429799748,0.14867253429799748
dementia,0.14720946463181844,0.14720946463181844
blood pressure,0.14592073612605308,0.14592073612605308
clinical practice,0.1421910907644225,0.1421910907644225
severe mental disorders,0.1415764843869772,0.1415764843869772
heart attack,0.14151685546136217,0.14151685546136217
hospital admission,0.13950061758622867,0.13950061758622867
health department,0.13647402973029357,0.13647402973029357
mental disorder,0.13571735672183916,0.13571735672183916
care provision,0.1350022305830062,0.1350022305830062
depression,0.13495193620876736,0.13495193620876736
health care delivery,-0.13349864348819174,0.13349864348819174
health,0.1326636984901894,0.1326636984901894
polio,0.1320982533990057,0.1320982533990057
obstetrics,0.1303599479701267,0.1303599479701267
suicides,0.13000594249710787,0.13000594249710787
health risk,0.12954030186123996,0.12954030186123996
influenza,0.12807593243168178,0.12807593243168178
referral,0.12727892460803475,0.12727892460803475
obesity,0.12575640043940242,0.12575640043940242
myocardial infarction,0.12541767563655423,0.12541767563655423
infarction,0.125417675636554,0.125417675636554
chronic disease,0.1250735135517677,0.1250735135517677
amphetamine,0.12373272435379205,0.12373272435379205
curative care,0.1231990399661862,0.1231990399661862
health emergency,0.12255421794138215,0.12255421794138215
dialysis,0.12245081509106949,0.12245081509106949
suicide prevention,0.12234804389840684,0.12234804389840684
psychiatry,0.12185571328320699,0.12185571328320699
cancer screening,0.12115820362844251,0.12115820362844251
mental health act,0.12082366273101283,0.12082366273101283
opioids,0.12060841771824674,0.12060841771824674
medicine,0.12015788923695966,0.12015788923695966
oncology,0.1200173935540483,0.1200173935540483
pathological,0.11983265188073361,0.11983265188073361
heavy drinking,0.11852140929252382,0.11852140929252382
tobacco control,0.1182924405429616,0.1182924405429616
elective surgery,0.11771044609165725,0.11771044609165725
pneumonia,0.11748776177821878,0.11748776177821878
access to care,0.11514004940099873,0.11514004940099873
life extension,0.11372370446996174,0.11372370446996174
blood sugar,0.11355008813212257,0.11355008813212257
drug abuse,0.11139797917376036,0.11139797917376036
ambulatory care,0.11116587122781932,0.11116587122781932
cholesterol,0.11027289121198337,0.11027289121198337
cerebrovascular diseases,0.11009206731563816,0.11009206731563816
mortality,0.10857458898337706,0.10857458898337706
morbidity,0.10782926829628378,0.10782926829628378
contraceptive use,0.10691739493881444,0.10691739493881444
telemedicine,0.10674036117458365,0.10674036117458365
neonatal mortality,0.10586060443673229,0.10586060443673229
disease,0.1054423155991376,0.1054423155991376
hiv infection,0.10500238478914709,0.10500238478914709
drug users,0.1041949835762392,0.1041949835762392
ecstasy,0.10173228936442202,0.10173228936442202
self-rated health,0.10163364370227101,0.10163364370227101
viral hepatitis,0.10161997676711992,0.10161997676711992
alcohol consumption,0.10096273047164665,0.10096273047164665
nicotine,0.10071421691965715,0.10071421691965715
breathing,0.1005946812868522,0.1005946812868522
spread of hiv,0.10058097676025568,0.10058097676025568
pharmacy,0.10022626103113923,0.10022626103113923
stillbirth,0.0993708718354282,0.0993708718354282
mass index,0.09886158271890827,0.09886158271890827
mental distress,0.09879927756021878,0.09879927756021878
longevity,0.09847064098987084,0.09847064098987084
communicable disease,0.0973372955101448,0.0973372955101448
opioid,0.09722050547626085,0.09722050547626085
bipolar disorder,0.09709850578649509,0.09709850578649509
emotional well-being,0.09675473733584505,0.09675473733584505
drug,0.09647608046713507,0.09647608046713507
medical equipment,0.09609850716237277,0.09609850716237277
road crashes,0.09551063289749685,0.09551063289749685
bacteria,0.09469979505640976,0.09469979505640976
infectious disease control,0.093960183268218,0.093960183268218
specialty,0.09366957500061855,0.09366957500061855
health outcomes,0.09358280855052946,0.09358280855052946
over-the-counter,0.09310813914134997,0.09310813914134997
heart diseases,0.09309374871936338,0.09309374871936338
fentanyl,0.09282860372543549,0.09282860372543549
orthodontics,0.09278756015151207,0.09278756015151207
hypertension,0.09276923079917279,0.09276923079917279
diseases,0.09270816408322509,0.09270816408322509
safe motherhood,0.09047936680517743,0.09047936680517743
care services,0.09018675453808307,0.09018675453808307
alcohol-related problems,0.0900323337194842,0.0900323337194842
high cholesterol,0.08978272319903231,0.08978272319903231
breastfeeding,0.08901146223315144,0.08901146223315144
reproductive health,-0.08818587188260556,0.08818587188260556
physiology,0.08814956894960144,0.08814956894960144
stroke,0.08807006245819962,0.08807006245819962
birth weight,0.08701500461659167,0.08701500461659167
low birth weight,0.08701500461659165,0.08701500461659165
point of care,0.08627881725145053,0.08627881725145053
health policy,-0.08590007549699336,0.08590007549699336
inpatient care,0.0852652439995977,0.0852652439995977
 alcohol consumption,0.08506794049586354,0.08506794049586354
infant deaths,0.08504723243407175,0.08504723243407175
child mortality,0.08461437609878339,0.08461437609878339
under-five,0.08411064559241802,0.08411064559241802
universal coverage,0.08304341562258842,0.08304341562258842
poliovirus,0.08293196974270498,0.08293196974270498
vomiting,0.08221474534357741,0.08221474534357741
infectious diseases,0.08126521668096509,0.08126521668096509
aids,0.08081987862714424,0.08081987862714424
vocational rehabilitation,0.08071446288122607,0.08071446288122607
respiratory disease,0.08037226670091019,0.08037226670091019
complication,0.08011588501879566,0.08011588501879566
disease outbreak,0.07999105637689684,0.07999105637689684
homicide,-0.07975821099822854,0.07975821099822854
cerebrovascular disease,0.0797141200487125,0.0797141200487125
mental health care,0.0794996888445913,0.0794996888445913
compulsory treatment,0.07917264010856595,0.07917264010856595
assertive community treatment,0.07917264010856438,0.07917264010856438
common rule,0.07917264010856417,0.07917264010856417
rheumatology,0.07917264010856406,0.07917264010856406
knee replacement,0.07917264010856184,0.07917264010856184
disease surveillance,0.07869247832155168,0.07869247832155168
pregnant women,0.07864685523469876,0.07864685523469876
icd-10,0.07854742795954163,0.07854742795954163
life expectancies,0.07771406011618964,0.07771406011618964
rehabilitation,0.07759338520388598,0.07759338520388598
epilepsy,0.07638082444220758,0.07638082444220758
psychiatric hospital,0.07634735697871736,0.07634735697871736
infectious disease,0.07591779776805255,0.07591779776805255
asthma,-0.07584720232378231,0.07584720232378231
tonsillectomy,0.07570899145926273,0.07570899145926273
tetanus,0.0746908592909971,0.0746908592909971
dentures,0.07271425943442399,0.07271425943442399
malaria vaccine,0.0724243737842962,0.0724243737842962
unwanted pregnancy,0.07218727987634832,0.07218727987634832
financing health,-0.07192547882759331,0.07192547882759331
emergency department,0.07186201002829168,0.07186201002829168
mmr,0.0718115198852884,0.0718115198852884
death certificate,0.07162134560834393,0.07162134560834393
quality care,0.07158869198152831,0.07158869198152831
underweight,0.07158148654092665,0.07158148654092665
leishmaniasis,0.07148071669485905,0.07148071669485905
catheter,0.07146315991397158,0.07146315991397158
dosage form,0.07146315991396825,0.07146315991396825
maternal mortality rate,0.07119268610599865,0.07119268610599865
heart failure,0.07115742733986946,0.07115742733986946
nicotine replacement therapy,0.07112448706485723,0.07112448706485723
maternal mortality,-0.07021433865768184,0.07021433865768184
shortage of doctors,0.06955132557829927,0.06955132557829927
binge drinking,-0.06949867775836055,0.06949867775836055
aids knowledge,0.06924990779288753,0.06924990779288753
opioid crisis,0.06910674091296544,0.06910674091296544
breast cancer,0.06859648567456719,0.06859648567456719
u5mr,0.06857137862385596,0.06857137862385596
psychiatric clinics,0.06832735836988614,0.06832735836988614
minor injury,0.0683144360106627,0.0683144360106627
preterm births,0.0682669128467453,0.0682669128467453
positron emission tomography,0.06826277500284732,0.06826277500284732
tomography,0.06826277500284726,0.06826277500284726
positron emission,0.06826277500284726,0.06826277500284726
clinical trial,0.06774429879970811,0.06774429879970811
prenatal care,-0.0674943352501448,0.0674943352501448
uterus,0.06715030124707136,0.06715030124707136
drug overdose,0.06706843145522308,0.06706843145522308
defined daily dose,0.06684028426234209,0.06684028426234209
cohort study,0.06681600264680529,0.06681600264680529
microbiome,0.06675586205909519,0.06675586205909519
vitamin,-0.0667147096613126,0.0667147096613126
family cohesion,0.06600157056476408,0.06600157056476408
crash fatalities,0.06598958888379425,0.06598958888379425
rural health,-0.0659699368149672,0.0659699368149672
blood flow,0.06589770922947948,0.06589770922947948
folic acid supplementation,0.06589770922947942,0.06589770922947942
maternal morbidity,0.06571612253126409,0.06571612253126409
aids control,0.06506621807687439,0.06506621807687439
access to health services,0.0649041585402329,0.0649041585402329
drinking status,0.06489614001567576,0.06489614001567576
antibody,0.0648531588522439,0.0648531588522439
aids awareness,0.06485315885224388,0.06485315885224388
cohort,0.06483719231077885,0.06483719231077885
brucellosis,0.06465481346853968,0.06465481346853968
aspirin,0.06459873846001211,0.06459873846001211
cannabis abuse,0.06439228160154477,0.06439228160154477
pharmacotherapy,0.06429871534689897,0.06429871534689897
seclusion,0.06424333656875021,0.06424333656875021
affordable medicines,0.0639387544696224,0.0639387544696224
life expectancy,0.0638831070636093,0.0638831070636093
skill mix,0.06362359152601788,0.06362359152601788
health care reform,-0.0635247022037531,0.0635247022037531
lead exposure,0.06344698658703926,0.06344698658703926
assisted reproductive technology,0.06341431989246235,0.06341431989246235
infant care,0.06334419328313207,0.06334419328313207
cholera outbreak,0.06308245273660061,0.06308245273660061
general physician,0.06291108457571887,0.06291108457571887
patient representatives,0.0628137296915981,0.0628137296915981
sars,0.0626642242346585,0.0626642242346585
hiv prevention,0.06261565457004364,0.06261565457004364
guideline,0.06227362073539812,0.06227362073539812
latrine,0.0622536828081452,0.0622536828081452
neurology,0.062237877286164575,0.062237877286164575
access to primary care,0.06200276506804068,0.06200276506804068
dysentery,0.06118856046565134,0.06118856046565134
congenital syphilis,0.061171728143658344,0.061171728143658344
methadone,0.06107707657391531,0.06107707657391531
access to mental health services,0.06097353163829729,0.06097353163829729
standard treatment,0.060861898429263546,0.060861898429263546
effector,0.060683194199186975,0.060683194199186975
transmission of hiv,0.060264900424419524,0.060264900424419524
attention deficit hyperactivity disorder,0.06026204074551382,0.06026204074551382
burnout,0.06026204074551381,0.06026204074551381
cancer incidence,0.05992390526919046,0.05992390526919046
hospital pharmacy,0.05988136536952956,0.05988136536952956
cohort effect,0.05971494849573841,0.05971494849573841
cocaine abuse,0.0596684185594147,0.0596684185594147
public health,-0.059331651378022446,0.059331651378022446
synthetic drugs,-0.05925757566996952,0.05925757566996952
accidental,0.05919974419608608,0.05919974419608608
epidemiology,-0.05911548095460542,0.05911548095460542
tuberculosis,0.05899972382096737,0.05899972382096737
personalized medicine,0.05842711899272191,0.05842711899272191
trichomoniasis,0.05841262690586568,0.05841262690586568
diazepam,0.05824166017468689,0.05824166017468689
buprenorphine,0.05824166017468687,0.05824166017468687
relative survival,-0.05819211218932673,0.05819211218932673
parkinson,0.05803134042109081,0.05803134042109081
dermatology,0.05800947225805869,0.05800947225805869
multiple sclerosis,0.05793641084324581,0.05793641084324581
midwife,0.057703541388664,0.057703541388664
road death,0.05738433332733451,0.05738433332733451
live birth,0.05737559050075946,0.05737559050075946
blood lead level,0.057350618424086244,0.057350618424086244
maternity care,0.05705550426437941,0.05705550426437941
mental health service,0.05677327399200977,0.05677327399200977
patient education,0.056572359886983455,0.056572359886983455
training health professionals,0.056572359886983434,0.056572359886983434
emerging nations,0.05653393251430165,0.05653393251430165
discontinuation,0.05621100478662671,0.05621100478662671
revalidation,0.05599592346890776,0.05599592346890776
road deaths,0.05593840159801407,0.05593840159801407
tertiary prevention,0.05573326450886394,0.05573326450886394
training of health-care professionals,0.05564976403109798,0.05564976403109798
formulary,-0.0555607046392287,0.0555607046392287
case fatality rate,0.055190421997361405,0.055190421997361405
alcohol abuse,-0.05496519292136299,0.05496519292136299
population risk,0.054857063945816686,0.054857063945816686
antenatal care,0.05472243094359386,0.05472243094359386
injury prevention,0.054691909887665646,0.054691909887665646
spread of epidemics,0.05461684156559649,0.05461684156559649
control of epidemics,0.05461684156559648,0.05461684156559648
thrombolysis,0.05428178417818335,0.05428178417818335
shortage of nurses,0.05424007736981051,0.05424007736981051
clinical handover,0.05424007736980707,0.05424007736980707
intellectual disability,0.05406859910743904,0.05406859910743904
mental well-being,0.05384857004354428,0.05384857004354428
road injury,0.05383756591160003,0.05383756591160003
placebo,0.05364936113950593,0.05364936113950593
care programme approach,0.0536493611395031,0.0536493611395031
hospital accreditation,0.05362261375353919,0.05362261375353919
so2,0.053554957429145095,0.053554957429145095
long-term care insurance,-0.05351409698294627,0.05351409698294627
pharmaceutical industry,0.05346791167657408,0.05346791167657408
pseudoephedrine,0.053406455092688,0.053406455092688
obstetric care,-0.053371581491404016,0.053371581491404016
shortages of health professionals,0.05315751547905882,0.05315751547905882
nose,0.053135999574146546,0.053135999574146546
alzheimer's disease,0.053045147721622325,0.053045147721622325
vaccine,-0.052953719029897935,0.052953719029897935
access to medicines,0.05288221019602028,0.05288221019602028
non-communicable disease,0.05286387886178329,0.05286387886178329
child health,-0.052855641063551964,0.052855641063551964
type 2 diabetes,0.052440649259721576,0.052440649259721576
diarrhoeal diseases,0.05214975113360396,0.05214975113360396
cholera,0.0520240842703,0.0520240842703
blunt,-0.05197064782379052,0.05197064782379052
health surveillance,0.05193292730469048,0.05193292730469048
activities of daily living,0.05192534166692209,0.05192534166692209
drug test,0.05149491281378902,0.05149491281378902
percentile rank,0.05120765794156396,0.05120765794156396
circulatory system,0.05116666760216098,0.05116666760216098
retina,0.05092001700077238,0.05092001700077238
tamoxifen,0.05081608583830049,0.05081608583830049
lysergic acid diethylamide,0.05052700025082643,0.05052700025082643
codeine,0.05044342944246419,0.05044342944246419
infant mortality,0.05036648406852774,0.05036648406852774
suicide mortality,0.05021618058070581,0.05021618058070581
methanol,0.05021191860825453,0.05021191860825453
alcohol policy,0.050080366540212064,0.050080366540212064
child survival,0.05004677568361593,0.05004677568361593
catastrophic illness,0.05004122138399008,0.05004122138399008
essential medicines,0.04994071610980267,0.04994071610980267
maternal death,-0.0499346726131729,0.0499346726131729
occupational medicine,0.049914981663255316,0.049914981663255316
amphetamine abuse,0.04988506027561033,0.04988506027561033
methamphetamine abuse,0.04988506027561031,0.04988506027561031
heart rate,0.049881357165226466,0.049881357165226466
infertility,-0.04975201825475604,0.04975201825475604
amphetamines,0.0497294459248766,0.0497294459248766
methamphetamine,0.049720959149832614,0.049720959149832614
cocaine,0.049653528125310195,0.049653528125310195
cancer registry,0.04959828600201757,0.04959828600201757
pandemic,-0.04919577586579108,0.04919577586579108
measles virus,0.0486698002092793,0.0486698002092793
foot ulcers,0.04865651492304945,0.04865651492304945
obstetrics and gynaecology,0.04855947928205196,0.04855947928205196
measles outbreaks,0.048290329082304365,0.048290329082304365
under-5 mortality,0.04807773411553939,0.04807773411553939
turkey,0.04774525363096164,0.04774525363096164
health intervention,0.0476064841342461,0.0476064841342461
sickness,0.04758992618013768,0.04758992618013768
measles epidemic,0.04728034004839478,0.04728034004839478
alcohol availability,0.04725775915783859,0.04725775915783859
ischemic heart diseases,0.04715083872806976,0.04715083872806976
sanitation,-0.04704407808716231,0.04704407808716231
executive functions,0.04702285353291436,0.04702285353291436
permissiveness,0.046957139071168594,0.046957139071168594
medical ethics,0.04694387063271464,0.04694387063271464
eye infection,0.04687150506464834,0.04687150506464834
evidence-based medicine,0.046685056503586,0.046685056503586
home nursing,0.04667061417941951,0.04667061417941951
osteoporosis,0.04663098207425613,0.04663098207425613
involuntary treatment,-0.0466171020793868,0.0466171020793868
efficacy,0.04653765689117275,0.04653765689117275
patient transport,0.046440702419793006,0.046440702419793006
audiologist,0.046440702419793,0.046440702419793
